                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.55623,                0.97283,                0.34073,                0.97922,                0.68512,                0.48051,                0.51244,                0.35166,                0.67108,                0.46252,                0.47321,                0.30795,                0.62795,                 1.2927,                 0.4403,                 1.0851,              0.0042976,              0.0042976,              0.0042976
                     75,                0.55601,                0.95213,                0.33725,                0.97987,                 0.6903,                0.46868,                0.51649,                0.35551,                0.69428,                0.43586,                0.47663,                 0.3054,                 0.6216,                 1.3011,                0.43439,                 1.0799,              0.0042184,              0.0042184,              0.0042184
                     76,                0.54576,                0.94819,                0.33234,                0.97392,                0.61272,                0.50584,                0.52762,                0.35426,                0.57808,                0.47736,                  0.476,                0.30594,                0.62893,                 1.3153,                0.43815,                 1.0874,              0.0041392,              0.0041392,              0.0041392
                     77,                0.54693,                 0.9523,                0.33666,                0.97641,                0.56733,                0.52921,                0.53254,                0.35631,                0.52835,                0.49313,                0.48229,                0.31093,                0.62366,                 1.3028,                0.43457,                 1.0811,                0.00406,                0.00406,                0.00406
                     78,                0.54398,                0.93304,                0.32794,                0.97066,                  0.623,                0.49848,                0.52349,                0.35468,                0.64272,                0.46183,                0.47539,                0.30621,                0.62602,                 1.2993,                0.43168,                 1.0856,              0.0039808,              0.0039808,              0.0039808
                     79,                0.54598,                0.93296,                0.32782,                0.97125,                0.62561,                 0.4733,                0.51066,                0.35238,                0.61475,                0.44432,                0.46745,                0.30048,                0.62989,                 1.2972,                0.43583,                 1.0913,              0.0039016,              0.0039016,              0.0039016
                     80,                0.53909,                0.92334,                0.32552,                0.97181,                0.68171,                0.48885,                0.51368,                0.34993,                 0.6713,                0.45597,                0.46992,                0.30228,                 0.6285,                 1.2992,                0.44389,                 1.0957,              0.0038224,              0.0038224,              0.0038224
                     81,                0.53669,                0.92359,                0.32376,                0.96305,                0.65429,                0.48994,                0.51906,                0.35559,                0.62304,                0.45889,                0.48624,                0.30704,                0.62919,                 1.3052,                0.44222,                 1.0953,              0.0037432,              0.0037432,              0.0037432
                     82,                0.53207,                 0.9181,                0.31997,                0.96352,                  0.705,                0.47986,                0.51664,                0.35402,                0.66531,                0.45149,                0.46934,                0.30222,                0.63101,                 1.3227,                0.44227,                 1.0939,               0.003664,               0.003664,               0.003664
                     83,                0.53124,                0.92553,                0.32088,                0.96689,                0.64307,                0.50429,                0.54639,                0.36843,                0.56367,                0.48734,                0.48986,                0.31384,                0.62729,                  1.319,                0.44165,                 1.0921,              0.0035848,              0.0035848,              0.0035848
                     84,                0.52833,                0.91042,                0.32077,                0.95801,                0.50325,                0.54772,                  0.527,                0.35866,                0.48644,                0.52663,                0.48349,                0.30774,                0.62637,                 1.3224,                0.44379,                 1.0897,              0.0035056,              0.0035056,              0.0035056
                     85,                   0.53,                0.91967,                0.31995,                0.96181,                0.54477,                0.52495,                0.52258,                0.35355,                0.51084,                0.49462,                0.47191,                0.30276,                0.62689,                 1.3545,                0.44735,                 1.0914,              0.0034264,              0.0034264,              0.0034264
                     86,                0.53016,                0.91001,                0.31262,                0.95903,                0.61565,                  0.514,                0.51397,                 0.3529,                0.59875,                0.48032,                0.46453,                0.29942,                0.62888,                 1.3456,                0.43884,                  1.095,              0.0033472,              0.0033472,              0.0033472
                     87,                0.51923,                0.89161,                 0.3105,                0.96183,                 0.6199,                0.50049,                0.51227,                0.35089,                0.58274,                0.46912,                0.46242,                0.29642,                0.62899,                 1.3472,                0.44538,                 1.0984,               0.003268,               0.003268,               0.003268
                     88,                0.52479,                0.89447,                0.30992,                0.96197,                0.70292,                0.46666,                0.50039,                0.34507,                0.67404,                0.45358,                0.46699,                0.29919,                0.63041,                 1.3459,                0.44702,                 1.0979,              0.0031888,              0.0031888,              0.0031888
